latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,118.125,20.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_mean (°C),rain_sum (mm),sunshine_duration (s),snowfall_sum (cm),precipitation_sum (mm),wind_direction_10m_dominant (°),daylight_duration (s),wind_speed_10m_max (km/h)
2021-01-01,0,-2.0,0.00,31557.45,0.00,0.00,223,35764.22,15.0
2021-01-02,3,-0.6,0.00,30557.70,0.00,0.00,122,35799.25,11.7
2021-01-03,3,1.0,0.00,24029.97,0.00,0.00,91,35837.00,10.6
2021-01-04,3,1.6,0.00,27989.08,0.00,0.00,39,35877.42,21.0
2021-01-05,3,-2.2,0.00,3686.74,0.00,0.00,47,35920.46,18.8
2021-01-06,3,-4.3,0.00,28885.16,0.00,0.00,342,35966.08,24.2
2021-01-07,3,-9.2,0.00,31852.92,0.00,0.00,301,36014.25,21.0
2021-01-08,0,-5.7,0.00,31904.30,0.00,0.00,277,36065.00,22.1
2021-01-09,3,-3.6,0.00,31957.06,0.00,0.00,295,36118.92,9.8
2021-01-10,3,-1.1,0.00,28800.00,0.00,0.00,316,36176.00,10.9
2021-01-11,0,-1.9,0.00,31879.68,0.00,0.00,258,36236.12,23.5
2021-01-12,0,2.9,0.00,32123.74,0.00,0.00,222,36299.14,22.1
2021-01-13,0,3.4,0.00,32181.67,0.00,0.00,174,36364.96,16.6
2021-01-14,3,5.6,0.00,32144.89,0.00,0.00,179,36433.43,16.4
2021-01-15,3,2.2,0.00,30154.26,0.00,0.00,32,36504.43,17.6
2021-01-16,3,-1.7,0.00,27173.89,0.00,0.00,13,36577.86,14.9
2021-01-17,0,0.4,0.00,32421.54,0.00,0.00,234,36653.59,19.1
2021-01-18,0,1.6,0.00,32582.55,0.00,0.00,114,36731.49,18.5
2021-01-19,3,3.8,0.00,32544.42,0.00,0.00,122,36811.45,19.8
2021-01-20,3,5.7,0.00,32343.55,0.00,0.00,93,36893.35,12.0
2021-01-21,51,5.7,0.10,12305.06,0.00,0.10,342,36977.08,10.9
2021-01-22,51,2.7,0.10,0.00,0.00,0.10,47,37062.52,15.0
2021-01-23,3,0.8,0.00,18754.70,0.00,0.00,67,37149.56,9.8
2021-01-24,51,4.8,0.20,24937.59,0.00,0.20,73,37238.09,17.5
2021-01-25,55,6.1,10.20,0.00,0.00,10.20,6,37327.99,15.1
2021-01-26,51,3.5,0.10,15286.98,0.00,0.10,49,37419.18,16.6
2021-01-27,3,4.1,0.00,29976.50,0.00,0.00,249,37511.52,21.6
2021-01-28,0,0.5,0.00,33098.36,0.00,0.00,347,37605.10,27.9
2021-01-29,3,3.6,0.00,33216.76,0.00,0.00,199,37700.89,17.6
2021-01-30,3,4.8,0.00,33102.46,0.00,0.00,177,37798.93,10.2
2021-01-31,3,8.8,0.00,33223.59,0.00,0.00,227,37899.07,16.1
2021-02-01,3,5.2,0.00,28807.43,0.00,0.00,41,38001.18,21.8
2021-02-02,0,2.3,0.00,33351.93,0.00,0.00,126,38105.11,12.6
2021-02-03,3,6.0,0.00,33104.70,0.00,0.00,7,38210.74,17.4
2021-02-04,3,5.5,0.00,33739.91,0.00,0.00,157,38317.93,11.7
2021-02-05,3,8.5,0.00,28091.00,0.00,0.00,219,38426.55,18.2
2021-02-06,3,9.2,0.00,33334.82,0.00,0.00,244,38536.47,17.7
2021-02-07,3,5.8,0.00,33894.06,0.00,0.00,50,38647.57,27.6
2021-02-08,3,2.7,0.00,32418.41,0.00,0.00,100,38759.73,13.1
2021-02-09,3,4.3,0.00,34335.36,0.00,0.00,149,38872.82,14.0
2021-02-10,3,6.7,0.00,33189.57,0.00,0.00,99,38986.71,10.0
2021-02-11,3,8.0,0.00,32935.66,0.00,0.00,151,39101.31,17.1
2021-02-12,1,9.6,0.00,33779.79,0.00,0.00,141,39216.49,19.0
